point_id,date,n_hours,GHI_Wh_m2,GHI_clearsky_Wh_m2,kt_daily,T2M_min,T2M_max,T2M_mean,RH2M_mean,WS10M_mean
RJP_0055,2021-04-17,24,6681.465,7243.22,0.9224440235144038,22.85,38.27,30.70958333333333,25.952916666666667,4.057916666666666
RJP_0055,2021-04-18,24,7337.275,7594.425,0.9661396353245966,22.36,39.85,31.26833333333333,20.96583333333333,3.050416666666667
RJP_0055,2021-04-19,24,6755.77,7390.46,0.914120365985338,22.71,40.81,32.5875,15.85375,2.7191666666666667
RJP_0055,2021-04-20,24,5000.3,6760.915,0.7395892419886954,22.9,37.94,30.60875,24.001666666666665,4.18875
RJP_0055,2021-04-21,24,6943.11,7383.065,0.9404102496727308,20.31,36.99,29.093333333333334,28.6675,5.15875
RJP_0055,2021-04-22,24,7731.26,7968.705,0.9702028121256842,19.94,38.03,29.99083333333333,19.31583333333333,2.485
RJP_0055,2021-04-23,24,7175.53,7499.95,0.956743711624744,21.98,40.68,31.46583333333333,21.677916666666665,5.1937500000000005
RJP_0055,2021-04-24,24,7589.215,7869.975,0.9643251725704338,21.33,38.55,29.451666666666668,16.607083333333332,4.6137500000000005
RJP_0055,2021-04-25,24,8047.0,8372.79,0.9610894337490848,20.95,39.91,30.997083333333336,10.354166666666666,2.50375
RJP_0055,2021-04-26,24,7959.505,8463.34,0.940468538425728,21.83,40.99,33.31791666666666,7.429583333333333,1.1541666666666666
RJP_0055,2021-04-27,24,8209.395,8333.07,0.98515853100958,24.83,43.21,33.98083333333334,7.868749999999999,1.82
RJP_0055,2021-04-28,24,8009.424999999999,8178.789999999999,0.9792921691350432,25.0,43.46,34.53041666666667,8.646666666666667,2.0083333333333333
RJP_0055,2021-04-29,24,6372.45,7146.19,0.8917269202190258,25.47,43.88,35.52708333333334,10.741666666666664,2.4545833333333333
RJP_0055,2021-04-30,24,6851.25,7116.785,0.9626889107932866,25.38,42.87,34.25958333333333,13.815833333333336,4.422916666666667
RJP_0055,2021-05-01,24,6179.005,7250.365,0.8522336461681584,25.22,42.65,34.7075,18.735416666666666,4.360833333333333
RJP_0055,2021-05-02,24,4523.445,5908.955,0.7655236839678081,27.62,38.38,32.2,26.45625,3.521666666666667
RJP_0055,2021-05-03,24,5420.715,7241.66,0.7485459135060194,26.23,39.46,33.66625,22.24,1.5683333333333334
RJP_0055,2021-05-04,24,6760.56,7694.32,0.8786429470050635,25.81,41.38,33.74166666666667,19.96625,4.26875
