point_id,date,n_hours,GHI_Wh_m2,GHI_clearsky_Wh_m2,kt_daily,T2M_min,T2M_max,T2M_mean,RH2M_mean,WS10M_mean,cluster_id
RJP_0083,2024-01-08,24,1644.5099999999998,2525.99,0.6510358314957699,6.54,24.01,15.719166666666666,63.76625000000001,3.0691666666666664,2
RJP_0083,2024-01-09,24,2397.13,3386.03,0.7079470648517585,6.19,21.76,13.726666666666668,69.32583333333334,2.1595833333333334,2
RJP_0083,2024-01-10,24,3963.99,4196.64,0.9445627930916162,4.99,22.17,12.49125,43.751666666666665,2.1766666666666663,2
RJP_0083,2024-01-11,24,4517.64,4556.65,0.9914388860237238,4.93,24.3,14.17625,35.86083333333334,1.9991666666666668,2
RJP_0083,2024-01-12,24,4471.89,4487.12,0.9966058407174312,5.4,25.33,14.965833333333334,37.935,2.247916666666667,2
RJP_0083,2024-01-13,24,3672.09,4451.49,0.8249125573684317,8.39,26.76,17.110833333333332,38.26166666666666,1.63,2
RJP_0083,2024-01-14,24,4441.25,4461.780000000001,0.9953986973808658,6.97,25.36,15.173749999999998,39.57416666666666,2.0275,2
RJP_0083,2024-01-15,24,3997.93,4430.96,0.902271742466644,6.25,24.49,15.03416666666667,30.980833333333333,1.80625,2
RJP_0083,2024-01-16,24,3903.31,4293.51,0.9091186465153218,6.71,24.69,14.37625,43.37375,2.61125,2
RJP_0083,2024-01-17,24,4037.89,4101.23,0.9845558527563684,6.07,23.84,13.674583333333336,44.67416666666666,2.715,2
RJP_0083,2024-01-18,24,3941.88,4103.6,0.9605907008480358,5.4,23.18,13.222916666666668,43.98916666666667,2.1179166666666664,2
RJP_0083,2024-01-19,24,4077.92,4345.73,0.9383739901006276,5.6,23.29,12.893333333333336,44.52583333333333,2.3916666666666666,2
RJP_0083,2024-01-20,24,4027.78,4343.32,0.9273505060644852,5.08,22.72,13.33125,40.52125,1.6879166666666665,2
RJP_0083,2024-01-21,24,4520.47,4544.09,0.9948020395722796,6.43,24.66,13.865833333333333,33.57041666666667,2.2875,2
RJP_0083,2024-01-22,24,4549.02,4621.349999999999,0.984348729267422,5.76,23.69,13.71375,33.96,2.30125,2
RJP_0083,2024-01-23,24,4407.219999999999,4556.24,0.9672932066791916,6.41,23.93,14.727083333333333,35.750416666666666,1.69375,2
RJP_0083,2024-01-24,24,4470.4,4505.13,0.992291010470286,5.59,23.78,14.131666666666668,36.43833333333333,1.856666666666667,2
RJP_0083,2024-01-25,24,3832.19,4351.87,0.8805846682001072,4.94,23.35,13.830833333333333,36.46333333333333,2.3191666666666664,2
RJP_0083,2024-01-26,24,3763.8,4387.88,0.8577718624939605,7.12,25.41,15.740833333333333,33.629583333333336,1.9254166666666668,2
RJP_0083,2024-01-27,24,4317.16,4487.5,0.9620412256267408,9.9,27.82,18.74125,29.25958333333333,1.6683333333333337,2
